Route,Trace_segment,Width,Length,Wiring layer,Depth,Rho,R,,,
BL-0,1,4,98.5,94,400,270,16.6,,,
BL-0,2,4,18.2,94,400,270,3.1,,,
BL-0,3,4,20.1,94,400,270,3.4,,,
BL-0,4,4,134.2,92,200,270,45.3,,,
BL-1,1,4,138.9,94,400,270,23.4,,,
BL-1,2,4,18,94,400,270,3.0,,,
BL-1,3,4,18,94,400,270,3.0,,,
BL-1,4,4,10.8,94,400,270,1.8,,,
BL-1,5,4,62.6,94,400,270,10.6,,,
BL-1,6,4,248.2,92,200,270,83.8,,,
BL-2,1,4,249.4,94,400,270,42.1,,,
BL-2,2,4,5.9,94,400,270,1.0,,,
BL-2,3,4,20.2,94,400,270,3.4,,,
BL-2,4,4,17.9,94,400,270,3.0,,,
BL-2,5,4,293.4,92,200,270,99.0,,,
BL-3,1,4,318.5,94,400,270,53.7,,,
BL-3,2,4,17.9,94,400,270,3.0,,,
BL-3,3,4,20.1,94,400,270,3.4,,,
BL-3,4,4,6,94,400,270,1.0,,,
BL-3,5,4,362.5,92,200,270,122.3,,,
BL-4,1,4,363.7,94,400,270,61.4,,,
BL-4,2,4,10.8,94,400,270,1.8,,,
BL-4,3,4,20.6,94,400,270,3.5,,,
BL-4,4,4,18,94,400,270,3.0,,,
BL-4,5,4,18,94,400,270,3.0,,,
BL-4,6,4,431.1,92,200,270,145.5,,,
BL-5,1,4,435.3,94,400,270,73.5,,,
BL-5,2,4,18,94,400,270,3.0,,,
BL-5,3,4,18,94,400,270,3.0,,,
BL-5,4,4,471.3,92,200,270,159.1,,,
BL-6,1,4,435.3,94,400,270,73.5,,,
BL-6,2,4,18,94,400,270,3.0,,,
BL-6,3,4,18,94,400,270,3.0,,,
BL-6,4,4,471.3,92,200,270,159.1,,,
BL-7,1,4,363.7,94,400,270,61.4,,,
BL-7,2,4,10.8,94,400,270,1.8,,,
BL-7,3,4,20.6,94,400,270,3.5,,,
BL-7,4,4,18,94,400,270,3.0,,,
BL-7,5,4,18,94,400,270,3.0,,,
BL-7,6,4,431.1,92,200,270,145.5,,,
BL-8,1,4,318.5,94,400,270,53.7,,,
BL-8,2,4,17.9,94,400,270,3.0,,,
BL-8,3,4,20.1,94,400,270,3.4,,,
BL-8,4,4,6,94,400,270,1.0,,,
BL-8,5,4,362.5,92,200,270,122.3,,,
BL-9,1,4,249.4,94,400,270,42.1,,,
BL-9,2,4,5.9,94,400,270,1.0,,,
BL-9,3,4,20.2,94,400,270,3.4,,,
BL-9,4,4,17.9,94,400,270,3.0,,,
BL-9,5,4,293.4,92,200,270,99.0,,,
BL-10,1,4,138.9,94,400,270,23.4,,,
BL-10,2,4,18,94,400,270,3.0,,,
BL-10,3,4,18,94,400,270,3.0,,,
BL-10,4,4,10.8,94,400,270,1.8,,,
BL-10,5,4,62.6,94,400,270,10.6,,,
BL-10,6,4,248.2,92,200,270,83.8,,,
BL-11,1,4,98.5,94,400,270,16.6,,,
BL-11,2,4,18.2,94,400,270,3.1,,,
BL-11,3,4,20.1,94,400,270,3.4,,,
BL-11,4,4,134.2,92,200,270,45.3,,,